LOCATION,PRICE,FACING,FLOOR,BEDROOM,BATHROOM,LAND AREA (sqft),ROAD ACCESS (ft),PROPERTY AGE,HAS_PARKING,HAS_BALCONY,HAS_GARDEN,HAS_MODULAR_KITCHEN,LOCATION_ENCODED
"Harisiddhi, Lalitpur",25000000.0,west,2.5,4.0,4.0,1060.9750000000001,13.0,14.0,1,1,0,0,27357142.85714286
"Harisiddhi, Lalitpur",28000000.0,west,2.5,5.0,4.0,1026.75,20.0,6.0,1,0,0,0,27357142.85714286
"Imadol, Lalitpur",27000000.0,south-west,2.5,5.0,3.0,1095.2,14.0,6.0,1,1,0,0,29527777.777777776
"Bhaisepati, Lalitpur",39900000.0,south,2.5,5.0,5.0,1437.45,16.0,6.0,1,1,0,0,47632203.38983051
"Bhaisepati, Lalitpur",49900000.0,south,3.5,4.0,4.0,1711.25,16.0,6.0,1,1,0,0,47632203.38983051
"Lubhu, Lalitpur",17000000.0,east,2.5,5.0,3.0,1437.45,10.0,6.0,1,0,0,1,22600000.0
"Bhaisepati, Lalitpur",42500000.0,south-west,2.5,4.0,4.0,1129.425,20.0,6.0,1,1,1,0,47632203.38983051
"Sanagaun, Lalitpur",17000000.0,west,2.0,4.0,2.0,1026.75,13.0,5.0,1,1,1,0,20875000.0
"Balkot, Bhaktapur",52500000.0,south-east,2.5,5.0,4.0,1711.25,20.0,6.0,1,1,1,0,37750000.0
"Bageshwori, Bhaktapur",25000000.0,south,2.5,7.0,3.0,1711.25,13.0,8.0,1,1,1,0,25000000.0
"Bhangal , Kathmandu",32000000.0,west,2.5,7.0,5.0,1437.45,13.0,3.0,1,1,0,0,27633333.333333332
"Tikathali, Lalitpur",25000000.0,south,3.0,6.0,3.0,1095.2,18.0,6.0,1,1,0,0,25147058.82352941
"Imadol, Lalitpur",23500000.0,west,2.5,4.0,3.0,1095.2,13.0,6.0,1,1,0,0,29527777.777777776
"Samakhusi, Kathmandu",39000000.0,west,2.5,3.0,4.0,1026.75,13.0,6.0,1,1,0,0,33875000.0
"Budhanilkantha, Kathmandu",33000000.0,north,2.5,5.0,5.0,2053.5,12.0,6.0,1,1,1,0,51359210.526315786
"Chandol, Kathmandu",85000000.0,east,2.5,6.0,6.0,3182.925,20.0,12.0,1,1,1,0,87500000.0
"Hepali Height, Kathmandu",60300000.0,north,3.5,4.0,4.0,1711.25,16.0,2.0,1,1,1,0,41700000.0
"Imadol, Lalitpur",16500000.0,south,2.5,4.0,2.0,1060.9750000000001,16.0,6.0,1,1,0,0,29527777.777777776
"Imadol, Lalitpur",22500000.0,north-west,2.5,4.0,4.0,1060.9750000000001,20.0,6.0,1,1,0,0,29527777.777777776
"Hepali Height, Kathmandu",33000000.0,south,2.5,6.0,5.0,2121.9500000000003,13.0,6.0,1,1,1,0,41700000.0
